ΕΦΑΡΜΟΓΗ,ΘΕΜΑΤΙΚΗ ΕΝΟΤΗΤΑ,ΓΝΩΣΤΙΚΟ ΑΝΤΙΚΕΙΜΕΝΟ,ΕΚΠΑΙΔΕΥΤΙΚΗ ΒΑΘΜΙΔΑ,"URL
",ΠΕΡΙΓΡΑΦΗ,"ΑΔΕΙΑ
",ΕΙΔΟΣ,ΛΕΙΤΟΥΡΓΙΚΟ
"
ChildsPlay",ΕΚΠΑΙΔΕΥΤΙΚΑ ΠΑΙΧΝΙΔΙΑ,,ΠΡΟΣΧΟΛΙΚΗ - ΠΡΩΤΟΒΑΘΜΙΑ,http://www.schoolsplay.org/,Συλλογή εκπιαδευτικών δραστηριοτήτων για παιδια,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,
7-zip,ΣΥΜΠΙΕΣΗ ΑΡΧΕΙΩΝ,ΠΛΗΡΟΦΟΡΙΚΗ,ΕΠΑΓΓΕΛΜΑΤΙΚΗ ΕΚΠΑΙΔΕΥΣΗ,http://www.7-zip.org/,Το 7-Zip μια εφαρμογή συμπίεσης αρχείων,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,WINDOWS
8085 simulator,ΗΛΕΚΤΡΟΝΙΚΗ,ΠΛΗΡΟΦΟΡΙΚΗ,ΔΕΥΤΕΡΟΒΑΘΜΙΑ,https://gnusim8085.github.io/,Το GNUSim8085 είναι simulator και assembler για τον Intel 8085 Microprocessor,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"WINDOWS, LINUX"
Αβάκιο,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΜΑΘΗΜΑΤΙΚΑ,ΔΕΥΤΕΡΟΒΑΘΜΙΑ,http://etl.ppp.uoa.gr/_content/download/index_download.htm,"Το «Αβάκιο / E-Slate» αποτελεί ένα «ανοιχτό» εκπαιδευτικό λογισμικό διερευνητικής μάθησης βασισμένο στην αρχιτεκτονική Ψηφίδων για την ανάπτυξη εκπαιδευτικών προϊόντων. Τα εκπαιδευτικά προϊόντα που κατασκευάζονται με το «Αβάκιο E-Slate» μπορούν να καλύψουν μεγάλο εύρος γνωστικών αντικειμένων και επιπέδων εκπαίδευσης. Εκπαιδευτικές εφαρμογές βασισμένες στο «Αβάκιο E-Slate», όπως ο «Χελωνόκοσμος» το «Ταξινομούμε», ο «Ξένιος» και οι «Μυκήνες» χρησιμοποιούνται σε αρκετά σχολεία (αντίστοιχα σε γνωστικά αντικείμενα Μαθηματικών, Γεωγραφίας, Ξένων Γλωσσών, Ιστορίας).",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,WINDOWS
Διερμηνευτής,ΠΡΟΓΡΑΜΜΑΤΙΣΜΟΣ,ΠΛΗΡΟΦΟΡΙΚΗ,ΔΕΥΤΕΡΟΒΑΘΜΙΑ,http://alkisg.mysch.gr/,"Ο Διερμηνευτής της ΓΛΩΣΣΑΣ είναι ένα ολοκληρωμένο περιβάλλον ανάπτυξης αλγορίθμων σε μορφή ψευδοκώδικα, ειδικά σχεδιασμένο για τη ΓΛΩΣΣΑ προγραμματισμού που διδάσκεται στα πλαίσια του μαθήματος Ανάπτυξη εφαρμογών σε προγραμματιστικό περιβάλλον (ΑΕΠΠ) της Γ΄ Γενικού Λυκείου",OPEN SOURCE,ΕΦΑΡΜΟΓΗ,"
WINDOWS,LINUX (WINE)"
Επόπτης,ΔΙΑΧΕΙΡΙΣΗ ΕΡΓΑΣΤΗΡΙΩΝ,,ΔΕΥΤΕΡΟΒΑΘΜΙΑ,http://www.epoptes.org/,"Η εφαρμογή Επόπτης (Epoptes) αποτελεί μία σύγχρονη εφαρμογή διαχείρισης τάξης σε λειτουργικά συστήματα Ubuntu.      η απομακρυσμένη διαχείριση που περιλαμβάνει απομακρυσμένο άνοιγμα & κλείσιμο σταθμών, (απο)σύνδεση χρηστών, η προβολή χαρακτηριστικών του υλικού των σταθμών, η αυτόματη ανίχνευση υπολογιστών καθώς και η δυνατότητα ορισμού συγκεκριμένων ονομάτων στους υπολογιστές, το άνοιγμα της κονσόλας του σταθμού του χρήστη στο σταθμό του καθηγητή,
    η προβολή και μετάδοση οθονών που περιλαμβάνει τη γενική επισκόπηση των οθονών των μαθητών, τον απομακρυσμένο έλεγχο της οθόνης κάποιου συγκεκριμένου μαθητή και την προβολή της οθόνης του καθηγητή στους μαθητές,
    η υποστήριξη πολλών τάξεων ώστε να μπορούν για παράδειγμα δύο ή περισσότεροι καθηγητές να κάνουν ταυτόχρονα διδασκαλία σε διαφορετικούς σταθμούς ενός εργαστηρίου ή του σχολείου, (χρήσιμο για ένα σχολείο με δύο εργαστήρια και έναν εξυπηρετητή),
    ο περιορισμός των μαθητών που περιλαμβάνει κλείδωμα / ξεκλείδωμα των οθονών τους, άνοιγμα κλείσιμο ήχου,
    η απομακρυσμένη εκτέλεση εντολών σε όλους ή επιλεγμένους υπολογιστές,
    ο διαμοιρασμός της επιφάνειας εργασίας του καθηγητή εκτός του εργαστηρίου για λόγους τεχνικής υποστήριξης ή απομακρυσμένης διδασκαλίας. ","OPEN SOURCE
",ΕΦΑΡΜΟΓΗ,LINUX
"Πλατφόρμα ""Αίσωπος""","Ανοιχτό Εκπαιδευτικό Περιεχόμενο
",ΟΛΑ,ΔΕΥΤΕΡΟΒΑΘΜΙΑ,http://aesop.iep.edu.gr/,,,ΠΛΑΤΦΟΡΜΑ,
A1 Academa,Συστήματα διαχείρισης Πληροφοριών,,,http://www.academia.a1.io,Συστήματα διαχείρισης Πληροφοριών,,,
apache server,ΔΙΑΧΕΙΡΙΣΗ ΕΡΓΑΣΤΗΡΙΩΝ,,,apache.org,server,OPEN SOURCE,ΕΦΑΡΜΟΓΗ,LINUX
Apere,Πλατφόρμες eLearning,,,http://www.oaeproject.org,Πλατφόρμες eLearning,,,
